geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
704	1	ANNUAL	PERCENT	105.802499	10.09643079	256	VNM	Viet Nam	2010-2014	12.789318
705	1	ANNUAL	PERCENT	14.82209486	46.11958061	215	SVN	Slovenia	2010-2014	6.127563
706	1	ANNUAL	PERCENT	46.20367477	4.406485729	208	SOM	Somalia	2010-2014	30.33607
710	1	ANNUAL	PERCENT	24.67184355	-29.99957544	283	ZAF	South Africa	2010-2014	42.915441
716	1	ANNUAL	PERCENT	29.86909584	-19.00075492	285	ZWE	Zimbabwe	2010-2014	24.287928
724	1	ANNUAL	PERCENT	-3.554078296	40.39211472	71	ESP	Spain	2010-2014	49.651848
728	1	ANNUAL	PERCENT	30.32618773	7.290839152	211	SSD	South Sudan	2010-2014	1.329293
732	1	ANNUAL	PERCENT	-13.13515523	24.66265342	70	ESH	Western Sahara	2010-2014	
736	1	ANNUAL	PERCENT	29.95650159	16.02643066	198	SDN	Sudan	2010-2014	
740	1	ANNUAL	PERCENT	-55.90626394	4.132603197	213	SUR	Suriname	2010-2014	0.956564
744	1	ANNUAL	PERCENT	13.38071013	78.82894131	203	SJM	Svalbard and Jan Mayen Islands	2010-2014	
748	1	ANNUAL	PERCENT	31.50149288	-26.56471011	217	SWZ	Swaziland	2010-2014	32.347334
752	1	ANNUAL	PERCENT	14.3775338	60.60103109	216	SWE	Sweden	2010-2014	2.876045
756	1	ANNUAL	PERCENT	8.223158	46.96617097	43	CHE	Switzerland	2010-2014	7.373763
760	1	ANNUAL	PERCENT	38.50466565	35.01676176	220	SYR	Syrian Arab Republic (Syria)	2010-2014	109.407816
762	1	ANNUAL	PERCENT	69.294998	38.43069666	225	TJK	Tajikistan	2010-2014	71.354123
764	1	ANNUAL	PERCENT	101.0202951	15.13089239	224	THA	Thailand	2010-2014	17.488838
768	1	ANNUAL	PERCENT	0.97835765	8.532096072	223	TGO	Togo	2010-2014	1.774125
772	1	ANNUAL	PERCENT	-171.8154473	-9.214545558	226	TKL	Tokelau	2010-2014	
776	1	ANNUAL	PERCENT	-175.1959991	-21.19511329	229	TON	Tonga	2010-2014	
780	1	ANNUAL	PERCENT	-61.29389504	10.41877263	230	TTO	Trinidad and Tobago	2010-2014	12.332322
784	1	ANNUAL	PERCENT	53.98279159	23.43322219	9	ARE	United Arab Emirates	2010-2014	2346.455888
788	1	ANNUAL	PERCENT	9.572737411	34.11439971	231	TUN	Tunisia	2010-2014	94.008733
792	1	ANNUAL	PERCENT	35.42890329	38.9899684	232	TUR	Turkey	2010-2014	27.489558
795	1	ANNUAL	PERCENT	58.9787665	40.0912346	227	TKM	Turkmenistan	2010-2014	162.83132
796	1	ANNUAL	PERCENT	-71.745121	21.80780585	221	TCA	Turks and Caicos Islands	2010-2014	
798	1	ANNUAL	PERCENT	178.6679611	-7.460048071	233	TUV	Tuvalu	2010-2014	
800	1	ANNUAL	PERCENT	32.39100438	1.279557331	236	UGA	Uganda	2010-2014	1.331451
804	1	ANNUAL	PERCENT	31.40270802	49.00735945	237	UKR	Ukraine	2010-2014	13.905757
807	1	ANNUAL	PERCENT	21.7007909	41.60048068	146	MKD	Macedonia, Republic of	2010-2014	13.182344
818	1	ANNUAL	PERCENT	29.77468534	26.57438204	68	EGY	Egypt	2010-2014	159.851775
826	1	ANNUAL	PERCENT	-2.23830539	53.27691757	81	GBR	United Kingdom	2010-2014	9.673288
831	1	ANNUAL	PERCENT	-2.200712402	49.71561166	83	GGY	Guernsey	2010-2014	
832	1	ANNUAL	PERCENT	-2.136773508	49.22353354	115	JEY	Jersey	2010-2014	
833	1	ANNUAL	PERCENT	-4.538190305	54.22880901	105	IMN	Isle of Man	2010-2014	
834	1	ANNUAL	PERCENT	34.80521182	-6.265332606	235	TZA	Tanzania, United Republic of	2010-2014	7.447489
840	1	ANNUAL	PERCENT	-99.13830311	39.5277871	248	USA	United States of America	2010-2014	22.609486
850	1	ANNUAL	PERCENT	-64.76960113	17.73297693	255	VIR	United States Virgin Islands	2010-2014	
854	1	ANNUAL	PERCENT	-1.742843829	12.27491081	23	BFA	Burkina Faso	2010-2014	9.492213
858	1	ANNUAL	PERCENT	-56.01387025	-32.8002838	247	URY	Uruguay	2010-2014	3.522683
860	1	ANNUAL	PERCENT	63.11944558	41.77560518	249	UZB	Uzbekistan	2010-2014	138.819613
862	1	ANNUAL	PERCENT	-66.15642084	7.121324748	253	VEN	Venezuela (Bolivarian Republic)	2010-2014	2.579149
876	1	ANNUAL	PERCENT	-176.2034788	-13.28471201	258	WLF	Wallis and Futuna Islands	2010-2014	
882	1	ANNUAL	PERCENT	-172.4430749	-13.61541469	259	WSM	Samoa	2010-2014	
887	1	ANNUAL	PERCENT	45.22389143	15.22242099	282	YEM	Yemen	2010-2014	227.681387
894	1	ANNUAL	PERCENT	27.850329	-14.59701056	284	ZMB	Zambia	2010-2014	2.144046
